climate_tweets.id,climate_tweets.tweet_id,climate_tweets.prof,climate_tweets.text,climate_tweets.lang,climate_tweets.place,climate_tweets.datetime,climate_tweets.rnd,climate_tweets.lang_N,climate_tweets.place_N,climate_tweets.select,climate_tweets.required_views,climate_tweets.number_views,tweet_classifications.id,tweet_classifications.user_id,tweet_classifications.tweet_id,tweet_classifications.tweet_text,tweet_classifications.insert_time,tweet_classifications.attitude,tweet_classifications.phenomenon_drivers,tweet_classifications.phenomenon_science,tweet_classifications.phenomenon_denial,tweet_classifications.impacts_extreme,tweet_classifications.impacts_weather,tweet_classifications.impacts_environment,tweet_classifications.impacts_society,tweet_classifications.adaptation_politics,tweet_classifications.adaptation_ethics,tweet_classifications.unknown
12736,333677863800803000,0,I also read scrabble is the number 1 cause of Global Warming. #YouCantArgueWithScience,en,US,41406.8465277778,0.193473087860227,11935,7462,0,3,0,12736,84968,58875,,42271.4075231481,1,0,0,0,1,1,0,0,0,1,0
9939,1130974430,0,The End of an Illusion or no global warming http://t.co/ieYno0rTbQ,en,US,41369.0833333333,0.147126553248112,9138,5724,0,3,0,9939,102005,58945,,42263.1487847222,0,0,0,0,0,0,0,0,0,0,1
12754,358059778200698000,1,"You can have world peace, or fix global warming. What do you do? Fuck peace; I\'m an American, I\'m safe but, cot damn it\'s humid. #HeatWave",en,US,41474.1277777778,0.193690268912167,11953,7475,0,3,0,12754,84968,19359,,42271.4107175926,1,0,0,0,0,1,1,1,0,0,0
10031,386882004823711000,0,#SandersTHS MT @davidburstein: #WhatIf #millennials are doing more than #Boomers to fight #ClimateChange by @Nsmith10 http://t.co/XRXNGyU9aQ,en,US,41553.6618055556,0.14848922372926,9230,5785,0,3,0,10031,102005,10847,,42263.3855208333,-1,0,0,1,0,0,0,0,1,0,0
2283,385302566231613000,0,"Scientists say we are at fault for global warming, I don\'t think so, it\'s the governments fault,and the multinationals,so don\'t blame us....",en,GB,41549.3034722222,0.0238499119298948,1481,207,0,3,0,2283,962,38776,,42166.1487384259,1,0,0,0,0,0,0,1,0,0,0
6057,873265850,0,@shochi_hh @rossignol @londonstuff It was during summer for sure. No climate change here...,en,FR,41091.5013888889,0.0854166653641515,5255,63,0,3,0,6057,84968,22756,,42208.4508333333,1,0,0,0,0,0,1,0,1,0,0
19449,400299368500449000,0,Filipino Official Makes Emotional Plea On Climate Change http://t.co/f7jGeUNAfP #susty #actonclimate #green #powerful #inspiring,en,GB,41590.6868055556,0.304456374209645,18648,2549,0,3,0,19449,102005,6659,,42282.8847685185,-1,0,0,0,0,0,0,1,0,0,1
2481,414794020393480000,0,"Congrats to Australia on its all-time-hottest-year record. Hope it stands a long, long time. http://t.co/oOcrrKAyMv",en,US,41630.6847222222,0.0268500401930052,1679,1039,0,3,0,2481,83057,1002,,42167.3443287037,0,0,0,0,0,1,0,0,1,0,0
16099,370547626053091000,0,Yesterday Al Gore in his climate change rant forget to tell us how much money his companies are making selling carbon offsets!,en,US,41508.5875,0.24907913861418,15298,9584,0,3,0,16099,102005,39105,,42276.4400347222,1,0,0,0,0,0,0,0,0,0,1
11139,-954263738,0,International Conference on â€œClimate change and Himalayas: Current status and future perspective (ICCCH)â€ during... http://t.co/eamsTlDF,en,IN,41166.3701388889,0.16759203603195,10338,130,0,3,0,11139,102005,14427,,42266.301875,0,0,0,0,0,0,0,0,0,0,1
2400,357848131326582000,0,Yesterday appears to have been the annual it\'s hotter in London than Hanoi day. It\'s normally early Spring. Global warming gone mad,en,GB,41473.54375,0.0256053416185001,1598,226,0,3,0,2400,352,39404,,42166.7425115741,0,0,0,0,0,0,0,0,0,0,1
